age,salary,experience,department,target
58,119135,16,Marketing,1
48,65222,16,HR,0
34,107373,1,IT,0
27,109575,9,HR,1
40,114651,6,Finance,1
58,93335,16,HR,1
38,40965,3,HR,0
42,54538,4,Finance,0
30,100592,19,Marketing,1
30,38110,3,HR,0
43,109309,19,Marketing,1
55,57266,7,HR,0
59,82992,9,Marketing,1
43,112948,1,Finance,0
22,36910,8,HR,0
41,30206,7,Finance,0
21,117054,18,HR,1
43,117897,8,Finance,1
49,53419,1,Finance,0
57,80636,11,HR,1
21,80015,18,HR,1
40,84268,10,HR,1
52,117939,3,IT,0
31,48141,7,Marketing,0
41,110356,16,IT,1
44,101910,16,IT,1
46,86044,17,Finance,1
47,97214,2,HR,0
35,63827,1,Marketing,0
34,85820,16,Finance,1
22,92623,12,IT,1
56,111734,5,HR,0
26,105450,5,Finance,0
40,52299,9,HR,0
28,73585,9,Finance,1
58,94044,3,HR,0
37,72557,19,IT,1
23,79080,16,Marketing,1
44,32693,16,IT,0
33,99163,3,Marketing,0
28,55939,1,HR,0
45,78925,11,Finance,1
21,72941,17,IT,1
39,51834,8,Marketing,0
47,48047,4,IT,0
26,56105,6,Marketing,0
27,105766,8,IT,1
54,45707,3,Marketing,0
33,51976,16,Marketing,0
36,74262,3,HR,0
55,53776,18,Marketing,0
59,60080,14,HR,0
23,96842,18,Marketing,1
21,91373,2,Finance,0
25,36776,3,Finance,0
23,85016,16,Finance,1
48,39474,9,Marketing,0
37,88053,4,HR,0
45,51959,1,HR,0
53,35530,4,Marketing,0
29,33748,1,Finance,0
55,43545,14,Finance,0
33,96199,16,HR,1
50,64766,8,Finance,0
34,103530,7,IT,1
27,91087,3,HR,0
33,98840,17,Finance,1
42,84384,1,HR,0
59,81005,16,IT,1
40,76576,12,HR,1
35,69353,19,HR,0
37,92003,14,HR,1
43,113211,6,HR,1
45,82733,6,IT,1
44,95318,13,Marketing,1
48,119474,19,HR,1
34,53664,8,HR,0
20,97172,2,Finance,0
44,115616,1,HR,0
26,56736,15,Finance,0
28,30854,1,Marketing,0
43,68623,5,IT,0
20,37392,16,IT,0
27,85680,19,Marketing,1
43,76717,4,IT,0
30,117092,3,Marketing,0
36,80859,17,Marketing,1
27,56309,17,Marketing,0
54,117455,12,IT,1
54,93734,14,Finance,1
52,100467,6,Marketing,1
24,82662,3,HR,0
58,42688,9,IT,0
47,55342,5,Marketing,0
26,67157,17,Marketing,0
28,97863,14,HR,1
27,82083,3,Finance,0
31,95733,1,Finance,0
53,119045,1,Finance,0
52,64698,3,Marketing,0
