age,salary,experience,spending_score
26,29913,4,21
25,47343,6,16
27,56977,0,20
30,48260,3,41
24,27845,1,21
24,36126,1,56
30,50135,1,35
27,34339,0,32
24,43551,2,21
27,46197,0,37
24,32585,3,24
24,39524,2,31
26,20000,2,56
19,31805,0,29
20,37979,1,41
23,30018,4,23
22,53059,3,30
26,28559,0,48
22,36480,2,24
21,41046,4,48
29,51530,0,37
24,28513,3,24
25,49305,1,36
21,40082,3,40
23,32148,0,36
25,43697,0,14
22,41592,0,23
26,35198,2,28
23,40558,3,29
24,36917,0,36
23,40908,3,32
31,45297,0,17
25,52688,2,34
22,30097,0,36
27,57064,1,36
21,24383,2,41
26,38786,0,38
19,44707,1,35
21,42248,4,29
26,35018,1,13
27,38335,4,34
26,36056,0,32
25,35285,3,33
24,46797,5,17
21,42856,0,19
23,34457,0,41
24,47197,3,30
28,42458,2,37
26,46503,3,30
20,45037,1,30
26,33368,2,39
24,35519,2,25
23,45978,4,31
27,44883,3,25
28,39833,3,26
28,40939,1,27
22,50221,1,32
24,35267,1,25
26,44377,3,43
28,38382,1,21
24,38259,3,28
24,48790,6,26
22,46603,4,44
21,46508,1,32
27,50444,4,40
29,40168,1,15
25,45456,0,33
28,37518,0,39
26,42593,0,31
23,38959,1,41
26,40776,2,25
30,44761,5,44
25,33454,3,53
30,56739,2,26
18,31952,4,26
27,30286,0,45
25,49265,2,46
24,46333,4,25
25,44993,0,26
19,45027,4,27
24,39902,3,17
26,32822,1,21
29,40606,3,20
23,34583,7,22
23,47801,2,30
23,38824,2,32
28,33396,1,46
26,37429,0,20
23,43303,4,40
27,35490,0,28
25,33422,2,30
28,41949,1,37
23,41960,3,19
24,35944,3,34
24,36232,4,32
21,41856,1,35
26,28415,1,33
26,28740,0,55
25,34252,1,24
24,38292,3,25
21,42487,4,24
24,51803,0,24
24,46861,4,24
23,38720,5,42
25,39848,3,44
26,31980,6,24
31,39852,0,22
26,37691,0,35
26,42582,0,24
25,33382,5,36
19,44155,3,32
25,52262,2,15
25,39130,3,45
32,43214,0,48
24,45521,7,24
26,36790,2,26
25,41793,2,33
21,40101,3,33
28,40781,3,37
27,33816,2,50
27,40196,0,28
22,43984,3,22
29,51609,6,16
21,47674,5,23
27,57225,5,30
32,33861,1,48
22,46979,0,25
23,41467,2,32
25,57518,2,30
23,33534,4,42
20,33282,0,55
25,35205,5,25
22,23009,2,25
26,35794,1,40
22,33927,0,37
30,41203,0,48
23,42734,4,36
24,55009,2,26
27,47603,0,36
21,35385,0,41
26,32813,1,38
29,43935,5,35
20,29438,1,41
26,54652,0,42
26,49436,2,44
27,36247,1,36
21,26295,0,28
21,50831,2,31
27,39084,2,42
26,49903,3,22
26,27245,6,34
26,35205,4,26
23,40042,1,30
26,40376,0,43
26,36399,7,32
23,44983,2,30
31,31459,2,16
26,38861,2,37
21,40962,2,36
27,44116,2,52
22,45693,1,27
27,31003,1,32
28,27727,2,32
23,50221,1,46
28,42659,1,29
26,34012,2,33
27,52409,1,36
31,40925,5,32
24,49434,0,26
23,40540,4,32
22,56486,4,41
23,54043,0,20
25,38008,1,31
26,47773,1,23
26,45163,0,42
27,50949,0,15
25,32281,0,24
29,45488,6,34
24,48467,4,46
33,25930,5,29
27,30534,3,24
22,23686,0,49
22,37845,1,16
26,45740,3,8
24,52019,0,34
27,40593,3,25
26,53029,2,20
25,28959,1,37
22,26373,3,32
20,39556,3,24
24,43073,1,17
28,39738,4,39
26,23460,0,37
21,39287,3,29
26,29564,3,48
26,45357,1,19
22,42933,3,15
25,32481,0,23
25,35889,4,30
22,31526,2,32
26,39499,1,28
27,47641,4,34
28,32114,1,17
28,44032,0,44
21,35758,0,29
22,33657,3,41
27,39144,0,33
27,31718,6,35
27,35571,0,36
37,30417,5,34
27,55718,2,36
28,40282,2,43
28,34402,1,32
27,41712,3,37
24,39101,2,29
27,38232,4,44
23,44913,2,23
24,46060,2,48
24,35756,1,30
25,35393,2,16
32,37800,3,31
19,21585,0,23
27,27878,0,38
20,50935,3,23
24,53160,2,26
28,38008,2,11
25,44612,2,25
22,42490,3,6
23,64631,1,14
27,48957,0,38
23,38977,2,38
26,32356,0,34
25,27148,3,20
23,41628,0,30
31,33949,4,30
27,28622,3,18
19,34827,3,45
26,31348,4,39
23,53497,5,28
28,47053,4,30
23,39936,0,32
25,51840,0,10
27,40619,1,28
28,33110,2,23
21,52185,3,20
24,44311,1,27
24,31702,2,48
23,38477,0,36
30,32995,1,24
26,28938,0,36
39,72647,10,33
38,76668,7,67
35,54050,6,53
33,72992,8,42
37,79821,8,65
36,60323,7,74
38,83381,9,59
37,73352,10,70
38,64360,8,76
33,69554,11,73
39,74467,6,76
36,70608,8,67
41,74310,7,61
33,62635,4,44
40,71355,8,58
36,58690,8,52
33,69110,11,82
34,62769,9,58
34,64116,6,61
36,79889,12,66
37,78730,10,60
33,74873,9,77
35,61261,8,54
41,67469,6,62
40,79705,7,53
36,71134,10,47
35,88555,12,54
35,73147,11,60
37,71536,7,56
32,67527,6,53
34,71068,8,46
30,68780,4,59
36,75665,9,45
37,77654,8,68
34,63712,7,61
40,59350,5,45
31,55310,9,57
31,74064,7,52
36,61173,6,63
38,52777,2,73
40,73109,8,41
34,89944,12,61
38,69951,11,58
35,76708,7,67
34,70655,7,62
38,69209,9,52
37,77353,6,57
30,67678,9,52
39,72139,10,71
39,72574,10,60
33,64655,8,79
36,77936,8,59
36,68600,6,53
36,63954,6,45
33,74292,8,42
33,62812,9,44
35,70225,10,63
39,69927,6,65
37,78687,11,44
34,73798,7,69
37,69800,8,55
26,76542,7,61
38,81122,3,76
30,74462,10,69
34,70083,9,57
32,59505,7,51
31,61479,8,38
38,67558,9,53
34,65124,5,58
36,68504,7,50
35,70453,10,59
36,74238,5,61
35,69436,9,58
31,73892,5,53
38,70516,9,62
34,54196,8,64
30,62485,5,49
34,68847,10,74
40,60322,7,59
38,74799,6,60
34,82246,8,67
34,79750,10,62
34,68292,6,70
41,81926,8,63
36,71189,9,54
36,67303,9,64
38,65093,8,49
36,67580,7,61
34,66895,6,60
34,71363,8,58
35,71285,6,59
35,70024,2,41
37,73496,9,55
35,79525,10,61
37,77596,3,62
35,58121,6,50
35,49569,9,73
29,77475,12,51
38,59065,8,70
36,68202,7,64
38,60639,8,54
26,55584,11,78
41,74332,7,48
35,76073,6,69
38,65388,7,70
32,49272,6,53
37,65630,8,74
32,73134,11,57
33,58169,9,63
41,71467,7,63
34,69878,7,59
36,74634,5,68
38,70957,10,68
36,62215,8,43
35,79573,8,73
